Rara avis.;	Ein weißer Rabe.; 
To pull the devil by the tail.;	Wie der Fisch auf dem Trocknen.;
To cast a slur on someone’s reputation.;	Einen Schatten auf j-n / etw. werfen.;
To be between the devil and the deep blue sea.;	In der Klemme sein.;
To tread on air.;	Im siebenten Himmel sein.;
A round peg in a square hole.;	Nicht am richtigen Platz sein.;
To be under someone’s thumb.;	Unter dem Pantoffel stehen.;
To be busy as a bee.;	Weder Rast noch Ruh kennen.;
To take oneself in hand.;	Sich zusammen-reißen.;
It’s still all up in the air.;	Das steht noch in den Sternen.;
To be in the air.;	In der Luft hängen.;
To hang by a thread.;	An einem seidenen Faden hängen.;
To sit on the phone.;	An der Strippe hängen.;
To be up in the clouds.;	In den Wolken schweben.;
To twist someone round one’s little finger.;	J-n um den kleinen Finger wickeln.;
To draw the wool over someone’s eyes.;	J-n an der Nase herumführen.;
As thick as thieves.;	Sie hängen wie Kletten aneinander.;
He wouldn’t hurt a fly.;	Er kann kein Wässerchen trüben.;
One’s hair stands like a mountain.;	J-m stehen die Haare zu Berge.;
That’s the heart of the matter.;	Da liegt der Hund begraben.;
Not fit to hold a candle to someone.;	Er kann ihm nicht das Wasser reichen.;
To get out of bed on the wrong side.;	Mit dem linken Fuß zuerst aufgestanden sein
To put a spoke in someone’s wheel.;	J-m Knüppel zwischen die Beine werfen.;
To be out of the swaddling-clothes.;	Aus den Kinderschuhen heraus sein.;
To fly off the handle.;	Aus der Haut fahren.;
To root something out.;	Etw. mit Stumpf und Stiel ausrotten.
Hungry as a hunter.;	Einen Bärenhunger haben.;
He wishes the ground would open under him.;	Am liebsten ware er in den Erdboden versunken.;
To make a mountain out of a molehill.;	Aus einer Mücke einen Elefanten machen.;
Rolling in money.;	Geld wie Heu.;
To go to the end of the earth to get something.;	Bis ans Ende der Welt laufen, um etw. zu besorgen.;
Open-hearted.;	Er trägt sein Herz in der Hand.;
One’s heart sank into one’s boot.;	Das Herz ist (ihm) in die Hose gefallen.;
To let the grass grow under one’s feet.;	Hoffen und Harren macht manchen zum Narren.;
To live a cat and dog life.;	Wie Hund und Katze zein.;
To sit on a powder keg.;	Wie auf einem Pulvrfaß sitzen.;
To put a line out.;	Die Fühler ausstrecken.;
To cover up one’s traces.;	Die Spuren verwischen.;
Put it into your pipe and smoke it.;	Sich etw. hinter die Ohren schreiben.;
He won’t set the Thames on fire.;	J-d ist keine große Leuchte.;
To know something like the palm of the hand.;	Etw. wie seine Westentasche kennen.;
To play first fiddle.;	Die erste Geige spielen.;
To play with edge-tools.;	Mit dem Feuer spielen.;
To follow in someone’s footsteps.;	In j-s Fußstapfen treten.;
To go against the stream.;	Gegen den Strom schwimmen.;
To bare one’s heart.;	J-m das Herz ausschütten.;
To look for a needle in a haystack.;	Eine Stecknadel im Heuhaufen suchen;
To see stars.;	J-d sieht Sterne.;
To drink the cup to the end.;	Den Kelch bis zum Boden leeren.;
As stiff as poker.;	Als hätte er einen Stock verschluckt.;
To vanish into thin air.;	Wie weggeblasn.;
A load off one’s mind.;	Ihm ist ein Stein vom Herzen gefallen.;
Like a bolt from the blue.;	Wie ein Blitz aus heiterem Himmel.;
As plain as the nose on your face.;	Wie zweimal zwei vier ist .;
To be on pins and needles.;	Auf Kohlen sitzen.;
You might as well talk to a brick wall.;	Wie gegen eine Wand reden.;
To take to something like a duck to water.;	Sich wie ein Fisch im Wasser fühlen.;
Packed like sardines.;	Wie den Heringe.;
To avoid someone or something lile the plague.;	Etw. fürchten wie der Teufel das Weihwasser.;
A heavy heart.;	Es ist mir schwer ums Herz.;
To take something to pieces.;	Keinen Stein auf dem anderen lassen.;
A drop in the ocean.;	Ein Tropfenauf den heißen Stein.;
To live in clover.;	Wie die Made im Speck leben.;
Nail drives out nail.;	Den Teufel mit Beelzebub austreiben.;
A fine gesture.;	Eine schöne Geste.;
Red as a lobster.;	Krebsrot.;
A hard nut to crack.;	Eine harte Nuß.;
To shout from the house tops.;	An allen Ecken und Enden posaunen.;
To see which way the cat jumps.;	Den Mantel nach dem Wind hängen.;
To buy a pig in a poke.;	Die Katze im Sack kaufen.;
To bring grist to someone’s mill.;	Wasser auf j-s Mühle gießen.;
It rains cats and dogs.;	Es gießt wie aus Kannen.;
To take someone at his word.;	J-n beim Wort nehmen.;
To fish in troubled waters.;	Im trüben fischen.;
To cudgel one’s brains over something.;	Sich den Kopf über etw. zerbrechen.;
To knock at an open door.;	Offene Türen einrennen.;
To measure another’s corn by one’s own bushel.;	Mit eigenem Maßstab messen.;
To hurl thunderbolt.;	Donner und Blitz schleudern.; 
It’s a small world.;	Die Welt ist ein Dorf
To keep mum.;	Er Kann den Mund nicht aufkriegen
To pull strings.;	Alle hebel in Bewegung setzen
To call a spade a spade.;	Die Dinge beim rechten Namen nennen.;
Not to see an inch beyond one’s nose.;	Nicht über die eigene Nasenspitze hinaussehen;
Dumb as an oyster.;	Stumm wie ein Fisch.;
To plough the sand.;	Mit einem Sieb Wasser schöpfen.;
To promise the moon.;	J-m goldene Berge versprechen.;
To beat the air.;	Leeres Stroh dreschen.;
To swim like a stone.;	Schwimmen wie eine bleierne Ente.;
To sit twiddling one’s thumps.;	Däumchen drehen.;
To be in someone’s shoes.;	In j-s Haut stecken.;
To put one’s tail between one’s leg.;	Den Schwanz einziehen.;
As like as two peas in a pod.;	Wie ein Ei dem anderen ähnlich sein.;
To drive someone into a corner.;	J-n in die Enge treiben.;
To go through fire and water.;	Mit allen Wassern gewaschen sein.;
To saw off the bough on which one is sitting.;	Den Ast absägen, auf dem man sitzt.;
A knowing old bird.;	Ein alter Hase.;
To use a sledge-hammer to crack a nut.;	Mit Kanonen auf Spatzen schießen.;
To kill two birds with one stone.;	Zwei Fliegen mit einer Klappe schlagen.;
To beat about the bush.;	Wie die Katze um den heißen Brei gehen.;
Thin as a rake.;	Dünn wie ein Streichholz.;
