A heavy heart.;Tener una losa sobre el corazón.;
To take something to pieces.;No dejar piedra sobre piedra.;
A drop in the ocean.;Una gota de agua en el mar.;
To live in clover.;Nadar en la abundancia.;
Nail drives out nail.;Un clavo saca otro clavo.;
A fine gesture.;Un gesto bello.;
Red as a lobster.;Rojo como un tomate.;
A hard nut to crack.;Duro de pelar.;
To shout from the house tops.;Echar las campanas al vuelo.;
To see which way the cat jumps.;Seguir la corriente.;
To buy a pig in a poke.;Comprar gato por liebre.;
To bring grist to someone’s mill.;Llevar el agua al molino de alguien.;
It rains cats and dogs.;Llover a càntaros.;
To take someone at his word.;Cogerle con el dedo en la boca.;
To fish in troubled waters.;Pescar en rio revuelto.;
To cudgel one’s brains over something.;Calentarse la cabeza.;
To knock at an open door.;Forzar una puerta abierta.;
To measure another’s corn by one’s own bushel.;Medir con su rasero.;
To hurl thunderbolt.;Echar rayos y centellas.;
It’s a small world.;Este mundo es un pañuelo.;
To keep mum.;Coserce uno la boca.;
To pull strings.;Tocar todos los resortes.;
To call a spade a spade.;Llamar al pan, pan y al vino, vino.;
Not to see an inch beyond one’s nose.;No ver más allá de sus narices.;
Dumb as an oyster.;Callarse como un muerto.;
To plough the sand.;Arar en el agua.;
To promise the moon.;Prometer la luna.;
To beat the air.;Dar vueltas a la noria.;
To swim like a stone.;Nadar a plomo.;
To sit twiddling one’s thumps.;Tenderse a la bartola.;
To be in someone’s shoes.;Ponerse en el lugar de otro.;
To put one’s tail between one’s leg.;Salir con el rabo entre las piernas.;
As like as two peas in a pod.;Se parecen como dos gotas de agua.;
To drive someone into a corner.;Dejar a alguien pegado a la pared.;
To go through fire and water.;Estar fogueado.;
To saw off the bough on which one is sitting.;Estar cavando su propia sepultura.;
A knowing old bird.;Toro corrido.;
To use a sledge-hammer to crack a nut.;Gastar la pólvora en salvas.;
To kill two birds with one stone.;Matar dos pájaros de un tiro.;
To beat about the bush.;Andar con rodeos.;
Thin as a rake.;Hecho un fideo.;
