Белая ворона;	Rara avis;
Биться как рыба об лёд;	To pull the devil by the tail;
Бросать тень на кого-либо / что-либо;	To cast a slur on someone’s reputation;
Быть между молотом и наковальней;	To be between the devil and the deep blue sea;
Быть на седьмом небе;	To tread on air;
Быть не на своём месте;	A round peg in a square hole;
Быть у кого-либо под башмаком;	To be under someone’s thumb;
Вертеться как белка в колесе;	To be busy as a bee;
Взять себя в руки;	To take oneself in hand;
Вилами по воде писано;	It’s still all up in the air;
Висеть в воздухе;	To be in the air;
Висеть на волоске;	To hang by a thread;
Висеть на телефоне;	To sit on the phone;
Витать в облаках;	To be up in the clouds;
Вить верёвки из кого-либо;	To twist someone round one’s little finger;
Водить кого-либо за нос;	To draw the wool over someone’s eyes;
Водой не разольёшь;	As thick as thieves;
Воды не замутит;	He wouldn’t hurt a fly;
Волосы становятся дыбом;	One’s hair stands like a mountain;
Вот где собака зарыта;	That’s the heart of the matter;
В подмётки не годится;	Not fit to hold a candle to someone;
Вставать с левой ноги;	To get out of bed on the wrong side;
Вставлять палки в колёса;	To put a spoke in someone’s wheel;
Выйти из пеленок;	To be out of the swaddling-clothes;
Выйти из себя;	To fly off the handle;
Вырвать что-либо с корнем;	To root something out;
Голодный как волк;	Hungry as a hunter;
Готов сквозь землю провалиться;	He wishes the ground would open under him;
Делать из мухи слона;	To make a mountain out of a molehill;
Денег куры не клюют;	Rolling in money;
Достать из-под земли;	To go to the end of the earth to get something;
Душа нараспашку;	Open-hearted;
Душа ушла в пятки;	One’s heart sank into one’s boot;
Ждать у моря погоды;	To let the grass grow under one’s feet;
Жить как кошка с собакой;	To live a cat and dog life;
Жить как на вулкане;	To sit on a powder keg;
Закинуть удочку;	To put a line out;
Замести следы;	To cover up one’s traces;
Зарубить на носу;	Put it into your pipe and smoke it;
Звёзд с неба не хватать;	He won’t set the Thames on fire;
Знать как свои пять пальцев;	To know something like the palm of the hand;
Играть первую скрипку;	To play first fiddle;
Играть с огнём;	To play with edge-tools;
Идти по чьим-либо стопам;	To follow in someone’s footsteps;
Идти против течения;	To go against the stream;
Излить душу;	To bare one’s heart;
Искать иголку в стоге сена;	To look for a needle in a haystack;
Искры из глаз посыпались;	To see stars;
Испить чашу до дна;	To drink the cup to the end;
Как аршин проглотил;	As stiff as poker;
Как ветром сдуло;	To vanish into thin air;
Как гора с плеч свалилась;	A load off one’s mind;
Как гром среди ясного неба;	Like a bolt from the blue;
Как дважды два четыре;	As plain as the nose on your face;
Как на иголках;	To be on pins and needles;
Как об стенку горох;	You might as well talk to a brick wall;
Как рыба в воде;	To take to something like a duck to water;
Как сельдей в бочке;	Packed like sardines;
Как чёрт от ладана;	To avoid someone or something lile the plague;
Камень на сердце;	A heavy heart;
Камня на камне не оставить;	To take something to pieces;
Капля в море;	A drop in the ocean;
Кататься как сыр в масле;	To live in clover;
Клин клином выбивать;	Nail drives out nail;
Красивый жест;	A fine gesture;
Красный как рак;	Red as a lobster;
Крепкий орешек;	A hard nut to crack;
Кричать на всех перекрёстках;	To shout from the house tops;
Куда ветер дует;	To see which way the cat jumps;
Купить кота в мешке;	To buy a pig in a poke;
Лить воду на чью-либо мельницу; 	To bring grist to someone’s mill;
Лить как из ведра;	It rains cats and dogs;
Ловить кого-либо на слове; 	To take someone at his word;
Ловить рыбу в мутной воде; 	To fish in troubled waters;
Ломать голову над чем-либо;	To cudgel one’s brains over something;
Ломиться в открытую дверь;	To knock at an open door;
Мерить на свой аршин(=0,71 м);	To measure another’s corn by one’s own bushel;
Метать громы и молнии;	To hurl thunderbolt;
Мир тесен;	It’s a small world;
Набрать в рот воды;	To keep mum;
Нажать на все кнопки;	To pull strings;
Называть вещи своими именами;	To call a spade a spade;
Не видеть дальше своего носа;	Not to see an inch beyond one’s nose;
Нем как рыба;	Dumb as an oyster;
Носить воду решетом;	To plough the sand;
Обещать золотые горы;	To promise the moon;
Переливать из пустого в порожнее;	To beat the air;
Плавать как топор;	To swim like a stone;
Плевать в потолок;	To sit twiddling one’s thumps;
Побывать в чьей-либо шкуре;	To be in someone’s shoes;
Поджать хвост;	To put one’s tail between one’s leg;
Похожи как две капли воды;	As like as two peas in a pod;
Припереть кого-либо к стенке;	To drive someone into a corner;
Пройти сквозь огонь и воду;	To go through fire and water;
Рубить сук, на котором сидишь;	To saw off the bough on which one is sitting;
Стреляный воробей;	A knowing old bird;
Стрелять из пушки по воробьям;	To use a sledge-hammer to crack a nut;
Убить двух зайцев;	To kill two birds with one stone;
Ходить вокруг да около;	To beat about the bush;
Худой как спичка;	Thin as a rake;
